1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
92.0,419.0,2033.0,1733.0,207.0,1528.0,1043.0,2245.0,2990.0,2076.0,636.0,3065.0,2428.0,690.0,313.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,473.0,2218.0,1835.0,224.0,1665.0,1152.0,2425.0,3238.0,2260.0,688.0,3289.0,2524.0,735.0,342.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,538.0,2433.0,1928.0,244.0,1784.0,1255.0,2587.0,3459.0,2407.0,742.0,3521.0,2618.0,776.0,363.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,565.0,2577.0,2016.0,254.0,1927.0,1400.0,2791.0,3724.0,2599.0,779.0,3698.0,2711.0,827.0,386.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,601.0,2737.0,2107.0,269.0,2089.0,1560.0,3043.0,4045.0,2851.0,819.0,3912.0,2826.0,890.0,416.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,627.0,2813.0,2161.0,279.0,2246.0,1728.0,3296.0,4382.0,3083.0,851.0,4062.0,2923.0,944.0,449.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,631.0,2865.0,2191.0,283.0,2396.0,1862.0,3517.0,4668.0,3274.0,854.0,4134.0,3015.0,997.0,472.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,633.0,2881.0,2199.0,291.0,2509.0,1965.0,3705.0,4888.0,3419.0,856.0,4157.0,3089.0,1031.0,491.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,620.0,2856.0,2169.0,289.0,2549.0,1979.0,3793.0,4977.0,3492.0,840.0,4079.0,3110.0,1049.0,505.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,602.0,2775.0,2139.0,284.0,2508.0,1979.0,3747.0,4937.0,3474.0,827.0,3987.0,3093.0,1049.0,507.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,602.0,2715.0,2082.0,281.0,2434.0,1910.0,3628.0,4806.0,3412.0,816.0,3947.0,3075.0,1036.0,509.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,598.0,2697.0,2052.0,283.0,2364.0,1800.0,3492.0,4623.0,3302.0,824.0,3935.0,3043.0,1011.0,503.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0
